Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-612_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.6,5.696,1.292
miRNA-612_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.6,32.578,30.431
miRNA-612_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.6,6.266,1.503
miRNA-612_3D_Structure_model1_ZINC000103016242_uff_E=330.76,-7.6,0,0
miRNA-612_3D_Structure_model1_ZINC000170637953_uff_E=375.04,-7.6,37.811,36.733
miRNA-612_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-7.6,15.071,12.36
miRNA-612_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-7.6,45.088,41.617
miRNA-612_3D_Structure_model1_ZINC000252493900_uff_E=112.08,-7.6,6.303,3.816
miRNA-612_3D_Structure_model1_ZINC000253536240_uff_E=149.47,-7.6,36.335,35.222
miRNA-612_3D_Structure_model1_ZINC000262187137_uff_E=447.15,-7.6,0,0
miRNA-612_3D_Structure_model1_ZINC000392498310_uff_E=403.00,-7.6,49.318,47.24
miRNA-612_3D_Structure_model1_ZINC000000193798_uff_E=149.03,-7.5,46.709,43.865
miRNA-612_3D_Structure_model1_ZINC000000203988_uff_E=337.31,-7.5,4.721,2.779
miRNA-612_3D_Structure_model1_ZINC000000294713_uff_E=273.71,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000000405368_uff_E=938.16,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000001402384_uff_E=374.83,-7.5,12.559,10.743
miRNA-612_3D_Structure_model1_ZINC000001402384_uff_E=374.83,-7.5,17.864,15.677
miRNA-612_3D_Structure_model1_ZINC000001424246_uff_E=405.37,-7.5,5.933,3.132
miRNA-612_3D_Structure_model1_ZINC000001748317_uff_E=115.83,-7.5,2.853,1.362
miRNA-612_3D_Structure_model1_ZINC000001762468_uff_E=196.94,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000002468762_uff_E=326.37,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000002507083_uff_E=899.53,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000002528077_uff_E=193.33,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000002927960_uff_E=213.55,-7.5,8.1,5.282
miRNA-612_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-7.5,6.004,2.715
miRNA-612_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-7.5,38.399,36.385
miRNA-612_3D_Structure_model1_ZINC000004206965_uff_E=333.92,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000004207178_uff_E=366.98,-7.5,39.635,38.395
miRNA-612_3D_Structure_model1_ZINC000004386286_uff_E=391.99,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.5,3.68,2.6
miRNA-612_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.5,52.398,49.26
miRNA-612_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.5,5.611,2.166
miRNA-612_3D_Structure_model1_ZINC000005783286_uff_E=329.45,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.5,46.674,45.299
miRNA-612_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.5,18.317,16.686
miRNA-612_3D_Structure_model1_ZINC000008754385_uff_E=154.41,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000011850592_uff_E=163.33,-7.5,2.587,1.873
miRNA-612_3D_Structure_model1_ZINC000012396154_uff_E=741.69,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000012778469_uff_E=362.79,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000012956768_uff_E=317.06,-7.5,41.743,40.235
miRNA-612_3D_Structure_model1_ZINC000013470885_uff_E=336.76,-7.5,16.658,14.264
miRNA-612_3D_Structure_model1_ZINC000014001469_uff_E=308.66,-7.5,4.472,2.456
miRNA-612_3D_Structure_model1_ZINC000016283433_uff_E=390.12,-7.5,42.004,40.281
miRNA-612_3D_Structure_model1_ZINC000019428411_uff_E=410.70,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000020216661_uff_E=287.74,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000032918143_uff_E=786.14,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000034120624_uff_E=206.67,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000034462800_uff_E=615.45,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000040163924_uff_E=347.22,-7.5,5.21,3.983
miRNA-612_3D_Structure_model1_ZINC000044610030_uff_E=513.50,-7.5,7.894,6.022
miRNA-612_3D_Structure_model1_ZINC000044610030_uff_E=513.50,-7.5,38.525,36.492
miRNA-612_3D_Structure_model1_ZINC000065407987_uff_E=543.72,-7.5,51.384,48.848
miRNA-612_3D_Structure_model1_ZINC000065407987_uff_E=543.72,-7.5,51.192,48.623
miRNA-612_3D_Structure_model1_ZINC000071792691_uff_E=625.43,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000074934285_uff_E=1028.02,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000074934285_uff_E=1028.02,-7.5,36.742,35.405
miRNA-612_3D_Structure_model1_ZINC000074934285_uff_E=1028.02,-7.5,6.003,5.213
miRNA-612_3D_Structure_model1_ZINC000078210627_uff_E=402.98,-7.5,6.391,2.661
miRNA-612_3D_Structure_model1_ZINC000095485801_uff_E=326.10,-7.5,38.934,37.834
miRNA-612_3D_Structure_model1_ZINC000096113659_uff_E=327.17,-7.5,4.887,2.759
miRNA-612_3D_Structure_model1_ZINC000096113659_uff_E=327.17,-7.5,39.338,37.853
miRNA-612_3D_Structure_model1_ZINC000097375660_uff_E=769.95,-7.5,60.968,59.884
miRNA-612_3D_Structure_model1_ZINC000100116292_uff_E=392.73,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000100202383_uff_E=384.86,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000100486561_uff_E=486.75,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.5,11.255,9.226
miRNA-612_3D_Structure_model1_ZINC000170637953_uff_E=375.04,-7.5,24.462,23.932
miRNA-612_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-7.5,2.052,1.554
miRNA-612_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-7.5,60.563,58.135
miRNA-612_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-7.5,58.484,56.056
miRNA-612_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-7.5,47.877,45.56
miRNA-612_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-7.5,45.955,43.044
miRNA-612_3D_Structure_model1_ZINC000238856566_uff_E=401.19,-7.5,2.137,1.77
miRNA-612_3D_Structure_model1_ZINC000252493900_uff_E=112.08,-7.5,5.342,3.463
miRNA-612_3D_Structure_model1_ZINC000253536240_uff_E=149.47,-7.5,36.366,35.405
miRNA-612_3D_Structure_model1_ZINC000253536240_uff_E=149.47,-7.5,46.076,45.192
miRNA-612_3D_Structure_model1_ZINC000392498310_uff_E=403.00,-7.5,46.381,44.115
miRNA-612_3D_Structure_model1_ZINC000392498310_uff_E=403.00,-7.5,46.27,44.244
miRNA-612_3D_Structure_model1_ZINC000408518576_uff_E=555.99,-7.5,0,0
miRNA-612_3D_Structure_model1_ZINC000584895208_uff_E=529.63,-7.5,53.585,50.393
miRNA-612_3D_Structure_model1_ZINC000000203988_uff_E=337.31,-7.4,50.477,48.352
miRNA-612_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-7.4,39.899,38.028
miRNA-612_3D_Structure_model1_ZINC000001402384_uff_E=374.83,-7.4,18.996,16.142
