Ligand,Binding Energy
ZINC000095251536_uff_E=376.95,-6.6
ZINC000096113659_uff_E=327.17,-6.6
ZINC000096531391_uff_E=156.98,-6.6
ZINC000096531393_uff_E=136.63,-6.6
ZINC000100020331_uff_E=359.97,-6.6
ZINC000102571869_uff_E=374.35,-6.6
ZINC000110682622_uff_E=1456.88,-6.6
ZINC000222408077_uff_E=280.64,-6.6
ZINC000225809565_uff_E=462.80,-6.6
ZINC000236644466_uff_E=172.16,-6.6
ZINC000250556820_uff_E=1409.90,-6.6
ZINC000252452703_uff_E=92.96,-6.6
ZINC000261569114_uff_E=245.45,-6.6
ZINC000262652414_uff_E=1509.90,-6.6
ZINC000367929595_uff_E=439.38,-6.6
ZINC000725345437_uff_E=718.99,-6.6
ZINC000000153321_uff_E=131.79,-6.5
ZINC000000294713_uff_E=273.71,-6.5
ZINC000000394133_uff_E=502.90,-6.5
ZINC000002003376_uff_E=949.79,-6.5
ZINC000002097573_uff_E=265.54,-6.5
ZINC000002390948_uff_E=96.70,-6.5
ZINC000002461422_uff_E=123.02,-6.5
ZINC000002533914_uff_E=130.14,-6.5
ZINC000002567697_uff_E=503.72,-6.5
ZINC000003086243_uff_E=495.86,-6.5
ZINC000003207457_uff_E=71.48,-6.5
ZINC000004554513_uff_E=1028.10,-6.5
ZINC000005713097_uff_E=96.93,-6.5
ZINC000012397813_uff_E=433.10,-6.5
ZINC000012504764_uff_E=339.89,-6.5
ZINC000013517623_uff_E=362.99,-6.5
ZINC000013659163_uff_E=151.71,-6.5
ZINC000019280331_uff_E=761.92,-6.5
ZINC000019425591_uff_E=467.24,-6.5
ZINC000020082504_uff_E=638.04,-6.5
ZINC000020185114_uff_E=203.12,-6.5
ZINC000020357858_uff_E=266.86,-6.5
ZINC000020357860_uff_E=358.30,-6.5
ZINC000026443386_uff_E=155.49,-6.5
ZINC000035600838_uff_E=660.43,-6.5
ZINC000036983366_uff_E=701.56,-6.5
ZINC000037414557_uff_E=668.49,-6.5
ZINC000037433960_uff_E=232.88,-6.5
ZINC000040542857_uff_E=710.07,-6.5
ZINC000042538537_uff_E=433.62,-6.5
ZINC000050215286_uff_E=399.21,-6.5
ZINC000062134048_uff_E=1739.03,-6.5
ZINC000062913138_uff_E=293.61,-6.5
ZINC000062913447_uff_E=283.30,-6.5
ZINC000072344450_uff_E=259.07,-6.5
ZINC000100252828_uff_E=1459.84,-6.5
ZINC000100338482_uff_E=343.42,-6.5
ZINC000210958498_uff_E=118.05,-6.5
ZINC000251460820_uff_E=1449.76,-6.5
ZINC000263229402_uff_E=192.72,-6.5
ZINC000299749466_uff_E=1487.28,-6.5
ZINC000299750479_uff_E=1471.68,-6.5
ZINC000534587382_uff_E=268.58,-6.5
ZINC000725256334_uff_E=272.47,-6.5
ZINC000725256565_uff_E=271.70,-6.5
ZINC000725345436_uff_E=713.68,-6.5
ZINC000000115780_uff_E=131.80,-6.4
ZINC000001704749_uff_E=165.21,-6.4
ZINC000001822037_uff_E=260.17,-6.4
ZINC000001868173_uff_E=277.47,-6.4
ZINC000002003375_uff_E=952.37,-6.4
ZINC000002012927_uff_E=964.30,-6.4
ZINC000002040273_uff_E=117.68,-6.4
ZINC000002551345_uff_E=279.02,-6.4
ZINC000003148796_uff_E=866.32,-6.4
ZINC000003416035_uff_E=1501.05,-6.4
ZINC000004051629_uff_E=148.04,-6.4
ZINC000004298586_uff_E=79.09,-6.4
ZINC000004554514_uff_E=1059.41,-6.4
ZINC000004575280_uff_E=212.20,-6.4
ZINC000004617021_uff_E=164.45,-6.4
ZINC000005613886_uff_E=514.20,-6.4
ZINC000009428862_uff_E=569.08,-6.4
ZINC000011764898_uff_E=277.23,-6.4
ZINC000011891478_uff_E=598.27,-6.4
ZINC000011919891_uff_E=168.04,-6.4
ZINC000011920449_uff_E=363.80,-6.4
ZINC000012357969_uff_E=354.53,-6.4
ZINC000012398436_uff_E=800.71,-6.4
ZINC000012494450_uff_E=80.98,-6.4
ZINC000012526557_uff_E=473.90,-6.4
ZINC000013555032_uff_E=81.97,-6.4
ZINC000014248181_uff_E=107.67,-6.4
ZINC000019685926_uff_E=137.41,-6.4
ZINC000020082506_uff_E=635.72,-6.4
ZINC000020082512_uff_E=681.15,-6.4
ZINC000020204856_uff_E=374.70,-6.4
